date,market_value
1997-01-01,740.74
1997-01-02,737.01
1997-01-03,748.03
1997-01-06,747.65
1997-01-07,753.23
1997-01-08,748.41
1997-01-09,754.85
1997-01-10,759.5
1997-01-13,759.51
1997-01-14,768.86
1997-01-15,767.2
1997-01-16,769.75
1997-01-17,776.17
1997-01-20,776.7
1997-01-21,782.72
1997-01-22,786.23
1997-01-23,777.56
1997-01-24,770.52
1997-01-27,765.02
1997-01-28,765.02
1997-01-29,772.5
1997-01-30,784.17
1997-01-31,786.16
1997-02-03,786.73
1997-02-04,789.26
1997-02-05,778.28
1997-02-06,780.15
1997-02-07,789.56
1997-02-10,785.43
1997-02-11,789.59
1997-02-12,802.77
1997-02-13,811.82
1997-02-14,808.48
1997-02-17,808.48
1997-02-18,816.29
1997-02-19,812.49
1997-02-20,802.8
1997-02-21,801.77
1997-02-24,810.28
1997-02-25,812.1
1997-02-26,805.68
1997-02-27,795.07
1997-02-28,790.82
1997-03-03,795.31
1997-03-04,790.95
1997-03-05,801.99
1997-03-06,798.56
1997-03-07,804.97
1997-03-10,813.65
1997-03-11,811.34
1997-03-12,804.26
1997-03-13,789.56
1997-03-14,793.17
1997-03-17,795.71
1997-03-18,789.66
1997-03-19,785.77
1997-03-20,782.65
1997-03-21,784.1
1997-03-24,790.89
1997-03-25,789.07
1997-03-26,790.5
1997-03-27,773.88
1997-03-28,773.88
1997-03-31,757.12
1997-04-01,759.64
1997-04-02,750.11
1997-04-03,750.32
1997-04-04,757.9
1997-04-07,762.13
1997-04-08,766.12
1997-04-09,760.6
1997-04-10,758.34
1997-04-11,737.65
1997-04-14,743.73
1997-04-15,754.72
1997-04-16,763.53
1997-04-17,761.77
1997-04-18,766.34
1997-04-21,760.37
1997-04-22,774.61
1997-04-23,773.64
1997-04-24,771.18
1997-04-25,765.37
1997-04-28,772.96
1997-04-29,794.05
1997-04-30,801.34
1997-05-01,798.53
1997-05-02,812.97
1997-05-05,830.24
1997-05-06,827.76
1997-05-07,815.62
1997-05-08,820.26
1997-05-09,824.78
1997-05-12,837.66
1997-05-13,833.13
1997-05-14,836.04
1997-05-15,841.88
1997-05-16,829.75
1997-05-19,833.27
1997-05-20,841.66
1997-05-21,839.35
1997-05-22,835.66
1997-05-23,847.03
1997-05-26,847.03
1997-05-27,849.71
1997-05-28,847.21
1997-05-29,844.08
1997-05-30,848.28
1997-06-02,846.36
1997-06-03,845.48
1997-06-04,840.11
1997-06-05,843.43
1997-06-06,858.01
1997-06-09,862.91
1997-06-10,865.27
1997-06-11,869.57
1997-06-12,883.48
1997-06-13,893.27
1997-06-16,893.9
1997-06-17,894.42
1997-06-18,889.06
1997-06-19,897.99
1997-06-20,898.7
1997-06-23,878.62
1997-06-24,896.34
1997-06-25,888.99
1997-06-26,883.68
1997-06-27,887.3
1997-06-30,885.14
1997-07-01,891.03
1997-07-02,904.03
1997-07-03,916.92
1997-07-04,916.92
1997-07-07,912.2
1997-07-08,918.75
1997-07-09,907.54
1997-07-10,913.78
1997-07-11,916.68
1997-07-14,918.38
1997-07-15,925.76
1997-07-16,936.59
1997-07-17,931.61
1997-07-18,915.3
1997-07-21,912.94
1997-07-22,933.98
1997-07-23,936.56
1997-07-24,940.3
1997-07-25,938.79
1997-07-28,936.45
1997-07-29,942.29
1997-07-30,952.29
1997-07-31,954.29
1997-08-01,947.14
1997-08-04,950.3
1997-08-05,952.37
1997-08-06,960.32
1997-08-07,951.19
1997-08-08,933.54
1997-08-11,937.0
1997-08-12,926.53
1997-08-13,922.02
1997-08-14,924.77
1997-08-15,900.81
1997-08-18,912.49
1997-08-19,926.01
1997-08-20,939.35
1997-08-21,925.05
1997-08-22,923.55
1997-08-25,920.16
1997-08-26,913.02
